timestamp,temperature_c,battery_voltage_v,battery_current_a,solar_panel_voltage_v,solar_panel_current_a,cpu_temperature_c,memory_usage_pct,signal_strength_dbm,anomaly
2026-01-01 00:00:00,24.213,27.894,2.746,32.339,4.205,38.18,53.524,-68.574,0
2026-01-01 00:10:00,23.316,27.966,2.93,32.925,4.339,38.003,53.393,-66.559,0
2026-01-01 00:20:00,24.614,28.044,2.859,31.671,4.257,38.782,53.093,-68.371,0
2026-01-01 00:30:00,24.792,28.007,2.755,32.746,4.485,38.622,52.32,-67.092,0
2026-01-01 00:40:00,22.812,27.968,2.747,32.338,4.227,35.793,51.306,-67.585,0
2026-01-01 00:50:00,23.31,27.971,2.666,32.673,4.084,38.663,50.845,-66.858,0
2026-01-01 01:00:00,24.355,27.973,2.912,31.891,4.774,37.469,54.696,-67.569,0
2026-01-01 01:10:00,24.088,27.965,2.847,33.058,4.287,37.18,53.814,-69.647,0
2026-01-01 01:20:00,24.342,28.222,2.617,32.895,4.323,38.212,51.251,-66.391,0
2026-01-01 01:30:00,23.8,28.069,2.85,32.681,4.453,38.736,52.633,-67.657,0
2026-01-01 01:40:00,25.056,28.121,2.819,32.995,4.508,37.139,52.083,-66.555,0
2026-01-01 01:50:00,25.028,28.016,3.128,32.574,4.445,39.06,50.655,-66.625,0
2026-01-01 02:00:00,24.573,28.045,2.747,32.711,4.547,39.152,53.067,-68.332,0
2026-01-01 02:10:00,25.359,28.008,2.79,32.823,4.57,38.623,52.061,-68.453,0
2026-01-01 02:20:00,24.939,27.857,3.108,32.406,4.64,37.935,51.156,-66.52,0
2026-01-01 02:30:00,24.053,27.964,3.15,33.425,4.16,37.89,50.27,-67.622,0
2026-01-01 02:40:00,24.954,27.934,2.909,33.607,5.034,39.538,50.179,-66.086,0
2026-01-01 02:50:00,24.066,27.904,2.934,33.01,4.654,37.552,52.386,-67.375,0
2026-01-01 03:00:00,25.394,27.993,3.095,33.441,4.824,39.655,52.962,-65.885,0
2026-01-01 03:10:00,24.785,28.2,2.753,33.288,4.457,38.714,51.601,-66.558,0
2026-01-01 03:20:00,24.731,28.095,2.82,33.556,4.662,38.813,54.408,-66.673,0
2026-01-01 03:30:00,24.423,28.207,3.02,33.28,4.645,37.565,53.179,-67.42,0
2026-01-01 03:40:00,25.795,28.141,3.251,33.247,5.096,38.856,54.396,-66.646,0
2026-01-01 03:50:00,24.87,28.176,3.023,33.979,4.707,39.506,53.089,-65.447,0
2026-01-01 04:00:00,24.717,28.046,3.097,33.641,4.997,37.987,52.061,-66.897,0
2026-01-01 04:10:00,24.808,28.164,3.231,34.421,4.736,39.497,53.743,-66.148,0
2026-01-01 04:20:00,25.465,28.185,3.357,33.778,4.795,39.21,51.324,-66.685,0
2026-01-01 04:30:00,25.385,28.086,3.045,33.483,4.856,38.664,54.627,-66.546,0
2026-01-01 04:40:00,25.455,28.181,3.121,34.281,5.18,39.902,52.028,-64.582,0
2026-01-01 04:50:00,25.503,28.186,3.35,34.113,4.563,37.496,55.426,-65.164,0
2026-01-01 05:00:00,26.736,28.101,2.958,34.186,4.694,39.574,53.222,-66.466,0
2026-01-01 05:10:00,24.987,28.06,3.272,34.384,4.584,40.631,55.802,-66.261,0
2026-01-01 05:20:00,24.947,28.06,3.034,33.773,4.771,40.526,51.926,-67.317,0
2026-01-01 05:30:00,24.769,28.166,3.176,33.988,4.84,39.723,52.785,-66.64,0
2026-01-01 05:40:00,25.803,28.19,3.142,34.002,4.692,39.208,54.747,-66.018,0
2026-01-01 05:50:00,26.194,28.104,3.064,33.636,4.881,38.977,56.225,-65.327,0
2026-01-01 06:00:00,25.355,28.174,3.067,34.019,4.636,39.28,57.175,-65.407,0
2026-01-01 06:10:00,24.877,28.222,3.225,34.6,4.846,39.993,54.305,-67.596,0
2026-01-01 06:20:00,24.918,28.23,3.318,34.233,5.299,38.947,57.595,-65.052,0
2026-01-01 06:30:00,25.98,28.309,3.188,33.694,5.148,40.234,53.821,-66.291,0
2026-01-01 06:40:00,26.073,28.291,3.218,33.633,5.112,41.369,56.375,-67.329,0
2026-01-01 06:50:00,25.961,28.113,3.283,34.77,4.881,39.646,52.756,-64.502,0
2026-01-01 07:00:00,25.141,28.332,3.103,34.163,4.78,38.653,55.262,-64.311,0
2026-01-01 07:10:00,25.796,28.159,3.313,33.972,4.864,38.686,50.345,-65.713,0
2026-01-01 07:20:00,25.74,28.289,3.326,34.104,5.086,40.415,52.595,-65.141,0
2026-01-01 07:30:00,25.836,28.215,3.544,33.681,5.271,39.777,55.507,-65.034,0
2026-01-01 07:40:00,26.317,28.181,3.19,34.692,5.28,40.557,52.357,-64.244,0
2026-01-01 07:50:00,25.886,28.073,3.183,34.05,5.226,39.459,55.54,-65.009,0
2026-01-01 08:00:00,26.226,28.208,3.333,34.656,4.952,40.58,56.455,-67.441,0
2026-01-01 08:10:00,25.82,28.101,3.342,34.183,5.103,39.817,53.972,-63.402,0
2026-01-01 08:20:00,25.995,28.307,3.181,34.65,5.032,39.386,53.181,-64.501,0
2026-01-01 08:30:00,26.254,28.354,3.199,34.221,5.052,39.679,54.122,-66.358,0
2026-01-01 08:40:00,24.81,28.173,3.313,34.409,5.496,39.069,53.287,-66.949,0
2026-01-01 08:50:00,25.624,28.265,3.15,34.339,4.73,41.645,54.893,-65.076,0
2026-01-01 09:00:00,25.535,28.186,3.201,34.279,5.03,40.002,55.308,-65.984,0
2026-01-01 09:10:00,25.433,28.197,3.261,34.154,5.312,40.619,54.622,-65.223,0
2026-01-01 09:20:00,25.702,28.313,3.369,33.919,4.768,39.698,58.235,-64.697,0
2026-01-01 09:30:00,26.955,28.251,3.177,34.637,4.923,39.31,53.974,-66.239,0
2026-01-01 09:40:00,25.315,28.397,3.027,33.613,4.936,39.987,57.82,-66.87,0
2026-01-01 09:50:00,26.611,28.223,3.017,33.893,4.986,41.077,53.488,-65.04,0
2026-01-01 10:00:00,24.766,28.345,3.094,33.855,4.699,39.801,55.539,-66.116,0
2026-01-01 10:10:00,25.719,28.276,3.086,33.947,5.124,39.542,57.583,-65.274,0
2026-01-01 10:20:00,26.077,28.335,3.222,33.61,5.125,40.382,57.535,-67.035,0
2026-01-01 10:30:00,26.381,28.238,3.096,33.822,5.079,40.676,54.786,-65.7,0
2026-01-01 10:40:00,26.476,28.273,3.151,33.602,4.787,41.61,56.586,-64.515,0
2026-01-01 10:50:00,26.539,28.271,3.139,33.055,4.962,40.596,56.388,-64.622,0
2026-01-01 11:00:00,25.745,28.216,3.175,33.558,4.748,40.845,54.701,-66.272,0
2026-01-01 11:10:00,25.67,28.339,3.382,33.112,4.843,40.922,56.824,-66.706,0
2026-01-01 11:20:00,26.597,28.341,3.299,32.832,5.321,39.439,59.109,-65.264,0
2026-01-01 11:30:00,25.865,28.339,3.216,33.427,4.89,39.605,56.646,-64.588,0
2026-01-01 11:40:00,25.107,28.417,3.154,33.487,4.613,39.523,56.857,-64.755,0
2026-01-01 11:50:00,25.207,28.413,3.152,33.437,4.866,39.337,57.087,-65.837,0
2026-01-01 12:00:00,25.356,28.27,3.237,33.386,4.538,41.051,53.287,-64.846,0
2026-01-01 12:10:00,26.345,28.332,3.262,32.444,4.546,40.658,56.784,-63.383,0
2026-01-01 12:20:00,26.094,28.255,3.076,32.576,4.554,40.5,54.163,-64.923,0
2026-01-01 12:30:00,26.474,28.309,3.183,33.673,4.65,38.372,54.969,-67.113,0
2026-01-01 12:40:00,25.687,28.262,2.927,32.545,4.902,42.1,59.959,-64.894,0
2026-01-01 12:50:00,26.091,28.442,3.189,33.053,4.805,39.748,55.647,-62.67,0
2026-01-01 13:00:00,26.412,28.343,3.248,32.526,4.769,42.112,54.806,-66.654,0
2026-01-01 13:10:00,25.749,28.299,3.114,32.72,4.418,39.318,58.248,-65.061,0
2026-01-01 13:20:00,26.277,28.414,3.358,32.396,4.503,39.833,54.502,-65.356,0
